fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
61.1336,16.3576,34.0033,0,80,62,53,1237,875,3.661,49,5.43666,0,2.87341,4341,1284767324
59.081,16.9259,33.7815,0,78,62,53,1317,875,3.661,48,5.43666,0,2.87341,4341,2285233252
61.2225,16.3339,34.6154,0,79,62,53,1233,875,3.66109,49,5.4369,0,2.87341,4341,3285326110
61.5976,16.2344,34.0604,0,80,62,53,1230,875,3.661,48,5.43715,0,2.87342,4338,4285413348
61.1766,16.3461,34.7245,0,78,62,53,1370,875,3.66173,48,5.43715,0,2.87342,4340,5285512749
57.9306,17.262,35.126,0,79,62,53,1185,875,3.6619,47,5.43702,0,2.87346,4354,6285627478
59.4364,16.8247,36.3184,0,77,62,53,1134,875,3.66138,47,5.43815,0,2.8738,4341,7285696161
60.0633,16.6491,35.1759,0,79,63,53,1187,875,3.66294,49,5.43629,0,2.87412,4341,8285790552
57.5294,17.3824,36.5449,0,79,63,53,1196,875,3.66655,49,5.43089,0,2.87417,4342,9285893689
55.736,17.9417,34.9662,0,78,63,53,1157,875,3.66687,48,5.43627,0,2.87666,4341,10286006054
61.4702,16.2681,35.6322,0,80,63,54,1217,875,3.66713,53,5.43697,0,2.87666,4316,11286094684
43.968,22.7438,35.6187,0,80,63,54,1308,875,3.66636,51,5.43869,0,2.88246,4334,12286183746
61.4403,16.2759,35.2273,0,78,63,54,1233,875,3.66753,52,5.43992,0,2.88351,4341,13287007665
61.6905,16.21,36.1874,0,79,63,54,1214,875,3.66736,49,5.44059,0,2.88353,4341,14287107356
61.2294,16.332,35.1575,0,79,63,54,1425,875,3.66698,50,5.44048,0,2.88353,4360,15287208550
55.9332,17.8785,34.7896,0,80,63,55,1341,875,3.66246,56,5.44421,0,2.88781,4341,16287307569
62.1765,16.0832,34.5576,0,78,63,54,1295,875,3.66187,51,5.44337,0,2.88784,4329,17287405146
55.8248,17.9132,35.342,0,80,63,55,1421,875,3.66784,55,5.44329,0,2.88784,4341,18287504096
61.4972,16.2609,34.4715,0,78,63,55,1172,875,3.66742,51,5.44404,0,2.88889,4347,19287596964
61.8494,16.1683,33.2215,0,80,63,54,1244,875,3.66904,51,5.44102,0,2.88681,4341,20287795010
61.485,16.2641,33.6667,0,79,63,55,1190,875,3.66484,49,5.44011,0,2.88578,4346,21287877258
61.892,16.1572,33.719,0,79,63,55,1360,875,3.66449,48,5.43834,0,2.88578,4341,22288286960
61.2167,16.3354,34.2193,0,79,63,55,1242,875,3.66449,48,5.43834,0,2.88578,4316,23288505194
58.4074,17.1211,33.9559,0,79,63,55,1296,875,3.67171,55,5.44177,0,2.88604,4341,24288563758
50.9106,19.6423,34.0984,0,78,63,55,1222,875,3.67226,50,5.44408,0,2.88725,4336,25288647339
54.5923,18.3176,34.4068,0,78,63,55,1356,875,3.66602,51,5.44347,0,2.88517,4341,26288802884
61.6173,16.2292,33.1092,0,80,63,55,1377,875,3.66684,58,5.44308,0,2.88518,4341,27288875264
61.3935,16.2884,36.1563,0,79,63,55,1772,875,3.66718,53,5.4475,0,2.88536,4390,28289499028
52.4661,19.0599,37.9705,0,78,63,55,1289,875,3.66596,52,5.45247,0,2.88665,4341,29289577890
60.8961,16.4214,35.0081,0,80,63,55,1209,875,3.66597,53,5.45081,0,2.88544,4341,30289656371
61.0823,16.3714,36.2583,0,79,63,55,1341,875,3.6659,52,5.45034,0,2.88544,4317,31289790437
61.5287,16.2526,35.0168,0,79,63,55,1179,875,3.66599,48,5.44807,0,2.88556,4329,32289889026
59.5881,16.7819,34.8112,0,80,63,55,1174,875,3.66509,48,5.44701,0,2.88456,4342,33289983096
61.0317,16.3849,35.2254,0,80,63,55,1194,875,3.66481,49,5.4468,0,2.88456,4341,34290025480
60.9386,16.41,35.0329,0,80,63,55,1344,875,3.66527,50,5.44547,0,2.88456,4345,35290100314
59.7695,16.7309,34.5,0,79,63,55,1388,875,3.66497,54,5.44446,0,2.88456,4342,36290172393
60.8705,16.4283,35.122,0,80,63,56,1218,875,3.66488,55,5.44455,0,2.88456,4341,37290314734
59.0033,16.9482,34.8915,0,78,63,56,1190,875,3.66488,55,5.44373,0,2.88456,4362,38290384048
58.3975,17.124,35.8086,0,80,63,56,1224,875,3.66497,56,5.4439,0,2.88456,4341,39290448223
60.9392,16.4098,34.9673,0,78,63,56,1273,875,3.66488,56,5.44406,0,2.88456,4354,40290543255
61.4661,16.2691,35.3923,0,81,63,56,1280,875,3.66488,55,5.44386,0,2.88352,4319,41290610696
60.9118,16.4172,34.1751,0,78,63,56,1543,875,3.66488,55,5.4444,0,2.88352,4341,42290667977
56.0668,17.8359,35.7737,0,79,63,56,1319,875,3.66488,55,5.4444,0,2.88352,4327,43290726371
59.719,16.7451,34.9515,0,79,63,56,1449,875,3.66488,55,5.44489,0,2.88352,4341,44290800013
59.2706,16.8718,34.8915,0,79,63,56,1311,875,3.66488,55,5.44504,0,2.88352,4341,45290864508
59.8194,16.717,34.9498,0,81,63,57,1234,875,3.66469,56,5.44545,0,2.88352,4316,46290932600
