os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600G with Radeon Graphics,AMD Radeon RX 5500 XT (RADV NAVI14),16211312,7.0.10-1-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
59.8084,16.7201,34.7826,0,94,56,70,1847,875,3.95953,99,5.68909,0,3.45857,4366,1267112358
62.2035,16.0763,34.8609,0,94,56,70,1848,875,3.95953,99,5.68371,0,3.44932,4377,2267233098
59.5799,16.7842,34.7896,0,93,56,70,1842,875,3.95953,97,5.65199,0,3.45066,4366,3267300298
60.0453,16.6541,32.5163,0,93,56,70,1841,875,3.95953,99,5.68794,0,3.45172,4366,4267366286
59.9144,16.6905,33.7641,0,92,57,70,1836,875,3.95953,98,5.68443,0,3.45761,4366,5267435530
59.7993,16.7226,33.9228,0,92,57,70,1793,875,3.95953,98,5.69053,0,3.46347,4366,6267499033
59.2829,16.8683,32.0908,0,90,57,70,1814,875,3.95953,97,5.69067,0,3.46481,4391,7267538361
58.9384,16.9669,30.4419,0,90,56,70,1798,875,3.95953,97,5.6591,0,3.46481,4431,8267603137
60.8334,16.4383,30.9446,0,90,56,70,1793,875,3.95953,98,5.65847,0,3.46481,4391,9267668173
60.7848,16.4515,31.8328,0,89,56,70,1826,875,3.95953,97,5.6578,0,3.46546,4416,10267734592
59.9756,16.6734,31.0403,0,90,56,70,1823,875,3.95953,98,5.65761,0,3.46547,4428,11267801191
59.8591,16.7059,31.1582,0,90,56,70,1829,875,3.95953,98,5.6576,0,3.46568,4416,12267864614
60.9804,16.3987,31.9149,0,90,56,71,1764,875,3.95953,97,5.66339,0,3.47256,4366,13267928738
59.4286,16.8269,32.7896,0,89,56,71,1789,875,3.95124,97,5.6651,0,3.4811,4366,14267996689
65.316,15.3102,33.3333,0,89,56,70,1819,875,3.95124,97,5.66573,0,3.48177,4366,15268057467
60.1891,16.6143,35.7143,0,93,56,71,1816,875,3.9514,99,5.67759,0,3.45719,4366,16268128655
60.6094,16.4991,33.6106,0,93,56,71,1844,875,3.9514,98,5.6814,0,3.46361,4366,17268199262
59.4071,16.833,32.9431,0,95,56,71,1843,875,3.9514,99,5.65694,0,3.47272,4366,18268267413
59.8042,16.7212,36.711,0,96,57,71,1848,875,3.95132,100,5.70234,0,3.49121,4341,19268303145
64.6881,15.4588,35.3535,0,95,57,71,1849,875,3.95132,100,5.70501,0,3.50031,4344,20268362300
60.4878,16.5323,33.9344,0,93,57,71,1847,875,3.95132,99,5.68577,0,3.50856,4366,21268429810
60.0182,16.6616,31.9588,0,93,57,71,1816,875,3.95132,98,5.68511,0,3.50989,4366,22268496680
60.4017,16.5558,34.7315,0,92,57,71,1832,875,3.95132,97,5.72741,0,3.52361,4366,23268563639
59.8443,16.71,33.665,0,91,57,71,1840,875,3.95132,97,5.72876,0,3.52437,4366,24268624187
60.1022,16.6383,32.8479,0,93,56,71,1844,875,3.95132,99,5.72898,0,3.52487,4366,25268684635
60.6986,16.4748,36.394,0,91,57,71,1839,875,3.95132,96,5.75291,0,3.56822,4366,26268752867
59.0961,16.9216,32.7731,0,91,57,71,1803,875,3.95147,97,5.75414,0,3.56521,4366,27268820848
61.0761,16.373,31.9218,0,92,57,71,1847,875,3.95147,96,5.75772,0,3.57288,4366,28268881145
63.429,15.7657,31.401,0,92,56,71,1831,875,3.95163,98,5.75714,0,3.57457,4416,29268945961
60.8366,16.4375,33.0658,0,92,56,71,1754,875,3.95163,97,5.72316,0,3.50182,4341,30269035182
60.3872,16.5598,31.1075,0,93,56,71,1847,875,3.95163,97,5.71511,0,3.50071,4366,31269104607
60.0537,16.6518,32.6633,0,96,56,71,1845,875,3.95163,99,5.71529,0,3.50914,4341,32269175494
