fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
74.185,13.4798,31.9739,0,94,65,60,1836,875,5.4637,102,4.45079,0,2.24182,4341,1310436741
73.7922,13.5516,32.5083,0,97,65,60,1840,875,5.46484,101,4.41542,0,2.21583,4341,2310554845
75.7844,13.1953,31.7881,0,97,65,61,1841,875,5.41039,96,4.40749,0,2.2292,4339,3310612396
70.9776,14.0889,31.6832,0,97,65,61,1841,875,5.411,99,4.40829,0,2.22937,4350,4310662263
72.3769,13.8166,31.1881,0,96,65,61,1842,875,5.41177,96,4.4023,0,2.22947,4341,5310724362
74.7491,13.3781,31.6993,0,98,65,61,1838,875,5.41332,108,4.40052,0,2.22964,4341,6310796620
75.1384,13.3088,31.4476,0,97,66,61,1842,875,5.41424,96,4.3936,0,2.22976,4341,7311007860
74.7587,13.3764,31.5436,0,98,66,61,1839,875,5.41447,103,4.38451,0,2.23035,4341,8311071292
68.9356,14.5063,32.5581,0,98,66,62,1838,875,5.51001,106,4.42432,0,2.26343,4316,9311125907
69.2663,14.437,31.5702,0,98,66,62,1839,875,5.41713,106,4.42426,0,2.26005,4316,10311185291
69.9366,14.2987,29.6053,0,98,66,62,1840,875,5.48072,107,4.42517,0,2.25531,4320,11311237322
70.619,14.1605,30.0336,0,98,66,62,1838,875,5.48113,107,4.42286,0,2.25328,4336,12311288591
71.4489,13.996,29.8013,0,98,66,62,1836,875,5.48159,106,4.42156,0,2.25363,4316,13311340371
69.9861,14.2885,30.5882,0,98,66,63,1841,875,5.51364,106,4.42087,0,2.25034,4316,14311393684
71.7488,13.9375,30.6425,0,98,66,63,1835,875,5.48217,105,4.42748,0,2.25271,4345,15311445123
72.0739,13.8747,31.0924,0,98,66,63,1841,875,5.48257,105,4.41016,0,2.24495,4341,16311497394
74.1066,13.4941,33.9315,0,98,66,63,1837,875,5.48318,102,4.4266,0,2.25776,4336,17311551999
75.5226,13.2411,34.0461,0,98,66,63,1840,875,5.54608,100,4.41235,0,2.24578,4345,18311604430
76.8916,13.0053,37.9195,0,95,66,63,1836,875,5.67988,107,4.41921,0,2.24987,4316,19311657332
75.8123,13.1905,35.3434,0,97,66,64,1834,875,5.85713,102,4.43546,0,2.27801,4316,20311707800
76.6431,13.0475,32.4013,0,98,66,64,1837,875,5.90045,107,4.45093,0,2.27678,4347,21311756274
81.3434,12.2936,31.3659,0,97,66,64,1837,875,5.94772,105,4.46551,0,2.27076,4320,22311805880
83.2896,12.0063,32.0598,0,97,66,64,1838,875,5.97116,108,4.4385,0,2.23668,4369,23311860745
86.875,11.5108,33.2226,0,96,66,64,1671,875,6.10566,107,4.47781,0,2.2924,4304,24311912926
86.1084,11.6133,29.5868,0,97,66,64,1836,875,6.22811,107,4.48986,0,2.29641,4341,25311964957
74.7308,13.3814,30.2829,0,98,66,65,1835,875,6.14338,107,4.46358,0,2.28022,4316,26312029851
71.8985,13.9085,31.9933,0,98,66,65,1838,875,6.11602,107,4.43552,0,2.25692,4341,27312133078
73.4532,13.6141,32.1252,0,98,66,65,1840,875,6.18632,108,4.43697,0,2.25443,4316,28312184076
76.3463,13.0982,34.2237,0,97,66,65,1838,875,6.27817,106,4.46719,0,2.27192,4366,29312194158
77.6311,12.8814,32.3967,0,99,67,65,1834,875,6.25909,113,4.51325,0,2.28374,4341,30312246198
83.7738,11.9369,31.614,0,94,67,65,1836,875,6.25995,106,4.51842,0,2.30057,4360,31312299912
86.9111,11.506,29.064,0,89,66,65,1838,875,6.25229,103,4.50428,0,2.29457,4341,32312350179
82.2985,12.1509,31.3953,0,98,66,66,1837,875,6.33057,109,4.49907,0,2.29366,4341,33312408632
78.1348,12.7984,36.4548,0,97,66,66,1832,875,6.41048,102,4.52131,0,2.32,4297,34312459730
83.3183,12.0022,32.2259,0,90,66,66,1806,875,6.48638,102,4.52916,0,2.33105,4341,35312512352
86.4032,11.5737,32.8926,0,91,67,66,1838,875,6.51526,101,4.5074,0,2.30766,4316,36312565845
88.5156,11.2974,32.1192,0,98,67,66,1837,875,6.47121,107,4.51115,0,2.30602,4338,37312619539
90.8902,11.0023,39.2027,0,97,67,66,1839,875,6.48224,108,4.58994,0,2.35641,4291,38312678532
87.334,11.4503,38.5124,0,98,67,66,1841,875,6.60382,108,4.58849,0,2.37107,4291,39312684336
90.7681,11.0171,31.7647,0,95,67,66,1839,875,6.60004,106,4.5791,0,2.35173,4341,40312737879
91.3089,10.9518,32.6797,0,98,67,66,1837,875,6.6026,108,4.57709,0,2.35045,4316,41312793065
92.612,10.7977,27.8798,0,93,67,66,1837,875,6.63866,95,4.59727,0,2.36088,4341,42312806062
94.0071,10.6375,28.4298,0,98,67,66,1839,875,6.63857,109,4.59445,0,2.36094,4318,43312870236
89.1713,11.2144,30.7309,0,97,67,67,1840,875,6.65097,107,4.58003,0,2.34405,4341,44312925452
93.3927,10.7075,29.1118,0,97,67,67,1834,875,6.65268,109,4.57352,0,2.34405,4320,45312977212
91.0618,10.9816,28.6195,0,98,67,67,1836,875,6.65478,110,4.59391,0,2.35928,4341,46313030264
59.9226,16.6882,27.7597,0,75,67,65,1366,875,6.65981,58,4.57392,0,2.3456,4338,47313082555
59.8282,16.7145,31.7568,0,79,67,65,1345,875,6.72668,65,4.59422,0,2.38069,4291,48313133955
59.9029,16.6937,29.6774,0,80,67,65,1281,875,6.81873,66,4.56627,0,2.35521,4341,49313187648
59.9519,16.68,29.3333,0,78,67,65,1171,875,6.87166,63,4.56692,0,2.34948,4338,50313240530
60.0978,16.6395,29.2484,0,79,67,64,1198,875,6.80697,62,4.55984,0,2.34702,4318,51313292370
59.8461,16.7095,27.541,0,79,67,65,1115,875,6.80912,69,4.56115,0,2.3521,4338,52313344200
59.8813,16.6997,28.3172,0,79,67,64,1439,875,6.82581,64,4.55848,0,2.34777,4341,53313397563
60.016,16.6622,29.6482,0,80,67,65,1546,875,6.81999,67,4.58392,0,2.38413,4294,54313451477
59.9627,16.677,31.7742,0,80,67,65,1513,875,6.8209,70,4.5829,0,2.38259,4316,55313501444
59.8215,16.7164,29.8869,0,79,67,65,1373,875,6.82251,66,4.58926,0,2.38639,4338,56313553154
59.8685,16.7033,28.4314,0,79,67,64,1396,875,6.82297,64,4.59229,0,2.38881,4338,57313596989
59.808,16.7202,28.7395,0,79,67,65,1203,875,6.81623,64,4.59263,0,2.39561,4344,58313646915
59.9247,16.6876,30.3333,0,83,67,65,1326,875,6.85606,73,4.60215,0,2.40055,4334,59313700448
59.8489,16.7087,27.9483,0,78,67,64,1403,875,6.84924,60,4.60786,0,2.40197,4317,60313751407
59.8921,16.6967,27.8768,0,80,67,64,1434,875,6.85751,61,4.61446,0,2.40109,4341,61313803928
59.8521,16.7078,28.013,0,80,67,64,1461,875,6.8503,67,4.60963,0,2.40235,4338,62313854215
59.8751,16.7014,27.9412,0,79,67,65,1451,875,6.85099,66,4.60617,0,2.40198,4318,63313907959
59.8771,16.7009,29.8046,0,79,67,64,1326,875,6.84409,65,4.60279,0,2.40366,4317,64313961653
59.9034,16.6935,33.3333,0,80,67,65,1367,875,6.99725,76,4.61863,0,2.4183,4316,65314023111
59.8534,16.7075,31.6129,0,80,67,65,1341,875,7.00613,73,4.61205,0,2.41242,4316,66314076424
59.8782,16.7006,31.1793,0,83,67,65,1359,875,7.00734,78,4.60385,0,2.39556,4317,67314147881
59.7809,16.7277,31.5113,0,81,67,65,1737,875,6.97702,73,4.6089,0,2.40376,4316,68314201544
59.7485,16.7368,30.2439,0,80,67,65,1550,875,6.97779,72,4.61398,0,2.40321,4317,69314253815
59.888,16.6978,30.9179,0,79,67,65,1513,875,6.99764,68,4.60982,0,2.40248,4316,70314306797
60.3095,16.5811,34.2857,0,82,67,65,1404,875,7.11099,71,4.634,0,2.42159,4291,71314363386
59.5058,16.8051,32.899,0,82,67,65,1631,875,7.08995,79,4.64425,0,2.43832,4291,72314431757
59.9784,16.6727,31.1183,0,84,67,65,1582,875,7.07511,80,4.65828,0,2.42699,4318,73314489549
59.8504,16.7083,31.4516,0,82,67,65,1500,875,7.07598,78,4.65659,0,2.42933,4316,74314539696
59.9034,16.6935,30.8333,0,81,67,65,1528,875,7.1078,78,4.65448,0,2.4286,4317,75314590734
59.8164,16.7178,31.9398,0,82,67,66,1493,875,7.10804,79,4.62785,0,2.40649,4320,76314644488
59.8963,16.6955,30.7942,0,82,67,65,1553,875,7.14034,79,4.70244,0,2.44505,4336,77314699484
58.5766,17.0717,27.3312,0,82,67,66,1259,875,7.09403,76,4.69161,0,2.44511,4341,78314733641
59.9069,16.6926,35.1792,0,86,67,66,1377,875,7.1086,90,4.64111,0,2.41589,4341,79314786232
59.8084,16.7201,31.5271,0,83,67,66,1450,875,7.14902,85,4.60402,0,2.37127,4304,80314841338
59.8891,16.6975,32.2581,0,81,67,66,1449,875,7.05629,79,4.55047,0,2.31339,4316,81314898569
59.9165,16.6899,29.4976,0,80,67,66,1467,875,6.95531,74,4.54181,0,2.31833,4331,82314951030
61.0675,16.3753,29.6482,0,78,67,66,1556,875,6.95578,72,4.53945,0,2.3154,4317,83315004182
59.7015,16.75,34.4942,0,82,67,66,1348,875,6.92469,77,4.57104,0,2.3667,4266,84315056423
59.8531,16.7076,29.7114,0,82,67,66,1531,875,6.96436,81,4.55235,0,2.33046,4318,85315110257
